Sample in Buffer,Sample in Window,TRIGGER,SDUAM_i/system_ila_0/inst/probe0_1[31:0],SDUAM_i/system_ila_0/inst/probe1_1[31:0],SDUAM_i/system_ila_0/inst/probe2_1[31:0],SDUAM_i/system_ila_0/inst/probe3_1[31:0],SDUAM_i/system_ila_0/inst/probe4_1,SDUAM_i/system_ila_0/inst/probe5_1,SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_addr_1[11:0],SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_din_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_dout_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_en_1,SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_rst_1,SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_we_1[3:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_rst_1,SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_din_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_en_1,SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_dout_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_we_1[3:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_addr_1[10:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
68,68,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,000
69,69,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,001
70,70,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,002
71,71,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,003
72,72,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,000
73,73,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,001
74,74,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,002
75,75,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,003
76,76,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,000
77,77,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,001
78,78,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,002
79,79,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,003
